year,player,career_hr
1885,Harry Stovey,50
1886,Harry Stovey,57
1886,Charley Jones,51
1887,Dan Brouthers,61
1887,Harry Stovey,61
1887,Charley Jones,56
1887,Fred Pfeffer,55
1887,Ned Williamson,53
1887,Cap Anson,50
1888,Dan Brouthers,70
1888,Harry Stovey,70
1888,Fred Pfeffer,63
1888,Cap Anson,62
1888,Ned Williamson,61
1888,John Reilly,54
1888,Roger Connor,53
1888,King Kelly,52
1888,George Wood,51
1889,Harry Stovey,89
1889,Dan Brouthers,77
1889,Fred Pfeffer,70
1889,Cap Anson,69
1889,Jerry Denny,67
1889,Roger Connor,66
1889,King Kelly,61
1889,John Reilly,59
1889,George Wood,56
1889,Paul Hines,55
1890,Harry Stovey,101
1890,Roger Connor,80
1890,Dan Brouthers,78
1890,Cap Anson,76
1890,Fred Pfeffer,75
1890,Jerry Denny,70
1890,George Wood,65
1890,John Reilly,65
1890,Paul Hines,57
1890,Hardy Richardson,55
1890,Jim O'Rourke,55
1890,Jimmy Ryan,50
1891,Harry Stovey,117
1891,Roger Connor,87
1891,Cap Anson,84
1891,Dan Brouthers,83
1891,Fred Pfeffer,82
1891,John Reilly,69
1891,George Wood,68
1891,King Kelly,63
1891,Jim O'Rourke,60
1891,Jimmy Ryan,59
1891,Mike Tiernan,58
1891,Sam Thompson,50
1892,Harry Stovey,121
1892,Roger Connor,99
1892,Dan Brouthers,88
1892,Cap Anson,85
1892,Fred Pfeffer,84
1892,Jimmy Ryan,69
1892,Mike Tiernan,63
1892,Jim O'Rourke,60
1892,Sam Thompson,59
1893,Roger Connor,110
1893,Fred Pfeffer,87
1893,Cap Anson,85
1893,Mike Tiernan,77
1893,Jimmy Ryan,72
1893,Sam Thompson,70
1893,Jim O'Rourke,62
1893,Oyster Burns,53
1893,Bug Holliday,50
1894,Roger Connor,118
1894,Dan Brouthers,97
1894,Fred Pfeffer,92
1894,Sam Thompson,83
1894,Mike Tiernan,82
1894,Jimmy Ryan,75
1894,Bug Holliday,63
1894,Oyster Burns,58
1894,Hugh Duffy,57
1894,Tom Brown,51
1895,Roger Connor,126
1895,Sam Thompson,101
1895,Mike Tiernan,89
1895,Cap Anson,87
1895,Jimmy Ryan,81
1895,Hugh Duffy,66
1895,Billy Nash,57
1895,Tom Brown,54
1895,Herman Long,53
1895,Walt Wilmot,53
1896,Roger Connor,137
1896,Sam Thompson,113
1896,Mike Tiernan,96
1896,Cap Anson,89
1896,Jimmy Ryan,84
1896,Hugh Duffy,71
1896,Ed Delahanty,61
1896,Herman Long,59
1896,Jake Beckley,57
1896,Tom Brown,56
1896,George Van Haltren,53
1896,Ed McKean,52
1896,Bid McPhee,50
1896,Bill Dahlen,50
1897,Mike Tiernan,101
1897,Cap Anson,92
1897,Jimmy Ryan,89
1897,Hugh Duffy,82
1897,Ed Delahanty,66
1897,Jake Beckley,65
1897,Herman Long,62
1897,Tom Brown,61
1897,George Van Haltren,56
1897,Ed McKean,54
1897,George Davis,54
1897,Bobby Lowe,52
1897,Bill Joyce,51
1898,Jimmy Ryan,93
1898,Hugh Duffy,90
1898,Ed Delahanty,70
1898,Jake Beckley,69
1898,Herman Long,68
1898,Ed McKean,63
1898,Bill Joyce,61
1898,George Van Haltren,58
1898,Bobby Lowe,56
1898,George Davis,56
1898,Bid McPhee,51
1898,Bill Dahlen,51
1899,Jimmy Ryan,96
1899,Hugh Duffy,95
1899,Ed Delahanty,79
1899,Herman Long,74
1899,Jake Beckley,72
1899,Bobby Lowe,60
1899,George Van Haltren,60
1899,Bill Dahlen,55
1900,Herman Long,86
1900,Ed Delahanty,81
1900,Jake Beckley,74
1900,Bobby Lowe,63
1900,George Van Haltren,61
1900,George Davis,59
1900,Bill Dahlen,56
1900,Joe Kelley,52
1900,Jesse Burkett,51
1901,Ed Delahanty,89
1901,Herman Long,89
1901,Jake Beckley,77
1901,Bobby Lowe,66
1901,George Davis,66
1901,George Van Haltren,62
1901,Jesse Burkett,61
1901,Bill Dahlen,60
1901,Joe Kelley,56
1902,Jimmy Ryan,102
1902,Ed Delahanty,99
1902,Herman Long,91
1902,Jake Beckley,82
1902,George Davis,69
1902,Bobby Lowe,66
1902,Jesse Burkett,66
1902,Bill Dahlen,62
1902,Buck Freeman,54
1902,Jimmy Collins,51
1903,Jimmy Ryan,109
1903,Jake Beckley,84
1903,Jesse Burkett,69
1903,Buck Freeman,67
1903,Bill Dahlen,63
1903,Joe Kelley,59
1903,Jimmy Collins,56
1904,Jake Beckley,85
1904,Buck Freeman,74
1904,Jesse Burkett,71
1904,George Davis,70
1904,Bobby Lowe,66
1904,Bill Dahlen,65
1904,Jimmy Collins,59
1904,Joe Kelley,59
1905,Jake Beckley,86
1905,Buck Freeman,77
1905,Jesse Burkett,75
1905,Bill Dahlen,72
1905,George Davis,71
1905,Jimmy Collins,63
1906,Bill Dahlen,73
1906,George Davis,71
1906,Joe Kelley,60
1906,Charlie Hickman,51
1907,Bill Dahlen,73
1907,George Davis,72
1907,Jimmy Collins,63
1907,Honus Wagner,53
1907,Harry Davis,52
1907,Nap Lajoie,51
1908,Bill Dahlen,76
1908,George Davis,72
1908,Honus Wagner,63
1908,Harry Davis,57
1908,Nap Lajoie,53
1908,Fred Clarke,50
1909,Honus Wagner,68
1909,Harry Davis,61
1909,Nap Lajoie,54
1909,Fred Clarke,53
1909,Sam Crawford,50
1910,Honus Wagner,72
1910,Harry Davis,62
1910,Nap Lajoie,58
1910,Fred Clarke,55
1910,Sam Crawford,55
1911,Honus Wagner,81
1911,Sam Crawford,62
1912,Honus Wagner,88
1912,Sam Crawford,66
1912,Nap Lajoie,58
1912,Frank Schulte,55
1913,Sam Crawford,75
1913,Frank Schulte,64
1913,Nap Lajoie,59
1913,Sherry Magee,57
1914,Honus Wagner,89
1914,Sam Crawford,83
1914,Sherry Magee,72
1914,Frank Schulte,69
1914,Fred Luderus,56
1914,Chief Wilson,53
1914,Tommy Leach,50
1915,Honus Wagner,95
1915,Sam Crawford,87
1915,Frank Schulte,81
1915,Sherry Magee,74
1915,Gavvy Cravath,73
1915,Fred Luderus,63
1915,Nap Lajoie,60
1915,Larry Doyle,51
1916,Gavvy Cravath,84
1916,Fred Luderus,68
1916,Larry Doyle,54
1916,Ty Cobb,53
1916,Vic Saier,52
1916,Ed Konetchy,51
1917,Gavvy Cravath,96
1917,Fred Luderus,73
1917,Larry Doyle,60
1917,Ty Cobb,59
1917,Frank Baker,54
1917,Ed Konetchy,53
1917,Fred Merkle,51
1917,Heinie Zimmerman,50
1918,Gavvy Cravath,104
1918,Fred Luderus,78
1918,Sherry Magee,76
1918,Ty Cobb,62
1918,Frank Baker,60
1918,Ed Konetchy,55
1918,Fred Merkle,54
1918,Heinie Zimmerman,51
1919,Fred Luderus,83
1919,Frank Baker,70
1919,Ty Cobb,63
1919,Fred Merkle,57
1919,Ed Konetchy,56
1919,Heinie Zimmerman,55
1919,Hal Chase,54
1919,Zack Wheat,50
1920,Babe Ruth,83
1920,Ty Cobb,65
1920,Larry Doyle,64
1920,Ed Konetchy,61
1920,Cy Williams,60
1920,Zack Wheat,59
1920,Elmer Smith,58
1920,George Burns,53
1920,Tris Speaker,53
1920,Joe Jackson,52
1920,Tilly Walker,52
1921,Babe Ruth,142
1921,Cy Williams,78
1921,Ty Cobb,77
1921,Tilly Walker,75
1921,Elmer Smith,74
1921,Zack Wheat,73
1921,Ed Konetchy,72
1921,George Burns,57
1921,Rogers Hornsby,57
1921,Tris Speaker,56
1921,Wally Pipp,51
1922,Babe Ruth,177
1922,Tilly Walker,112
1922,Cy Williams,104
1922,Rogers Hornsby,99
1922,Zack Wheat,89
1922,Ty Cobb,81
1922,Ken Williams,73
1922,George Burns,70
1922,Tris Speaker,67
1922,Harry Heilmann,64
1922,Wally Pipp,60
1922,George Burns,58
1922,Bobby Veach,57
1922,George Sisler,57
1922,Irish Meusel,53
1922,Jake Daubert,53
1922,Bob Meusel,51
1922,George Kelly,51
1923,Babe Ruth,218
1923,Cy Williams,145
1923,Rogers Hornsby,116
1923,Ken Williams,102
1923,Ty Cobb,87
1923,Tris Speaker,84
1923,Harry Heilmann,82
1923,George Burns,80
1923,George Burns,77
1923,Irish Meusel,72
1923,George Kelly,67
1923,Wally Pipp,66
1923,Bob Meusel,60
1923,Harry Hooper,59
1923,Jack Tobin,57
1923,Jake Daubert,55
1923,Max Carey,54
1923,Oscar Charleston,50
1924,Babe Ruth,264
1924,Cy Williams,169
1924,Rogers Hornsby,141
1924,Ken Williams,120
1924,Zack Wheat,103
1924,Tris Speaker,93
1924,Harry Heilmann,92
1924,Ty Cobb,91
1924,George Kelly,88
1924,George Burns,84
1924,Irish Meusel,78
1924,Wally Pipp,75
1924,Jack Fournier,73
1924,Bob Meusel,72
1924,Harry Hooper,69
1924,George Sisler,66
1924,Oscar Charleston,65
1924,Bobby Veach,62
